site_code,position,start_time,end_time,data_collection,number_of_records,remarks,serial_number,file_location
EXO-10,1,20/07/2024 17:30,25/09/2024 09:30,25/09/2024,1601,NA,653,data/data_sensors/EXO-T10/EXO-10-1-2024_09_25.txt
EXO-10,2,20/07/2024 17:30,25/09/2024 09:30,25/09/2024,1601,NA,347,data/data_sensors/EXO-T10/EXO-10-2-2024_09_25.txt
TER-NFBF-T-01,0,12/06/2024 11:00,19/08/2024 10:00,19/08/2024,1632,NA,65068594,data/data_sensors/T01/T01-0-2024_08_19.txt
TER-NFBF-T-01,1,12/06/2024 11:00,21/07/2024 06:00,19/08/2024,932,Data logger stopped,10222279,data/data_sensors/T01/T01-1-2024_08_19.txt
TER-NFBF-T-01,2,12/06/2024 11:00,18/08/2024 02:00,19/08/2024,1600,Data logger stopped,10220393,data/data_sensors/T01/T01-2-2024_08_19.txt
TER-NFBF-T-01,0,13/03/2024 15:30,12/06/2024 09:30,12/06/2024,2179,NA,65068594,data/data_sensors/T01/T01-0-2024_06_12.txt
TER-NFBF-T-01,1,13/03/2024 15:45,21/04/2024 10:45,12/06/2024,932,Battery replacement,10222279,data/data_sensors/T01/T01-1-2024_06_12.txt
TER-NFBF-T-01,2,13/03/2024 15:45,22/05/2024 12:45,12/06/2024,1678,Data logger on the ground Battery replacement,10220393,data/data_sensors/T01/T01-2-2024_06_12.txt
TER-NFBF-T-01,0,09/12/2023 10:12,13/03/2024 15:12,13/03/2024,2286,NA,65068594,data/data_sensors/T01/T01-0-2024_03_13.txt
TER-NFBF-T-01,1,09/12/2023 10:15,13/03/2024 15:15,13/03/2024,2286,NA,10222279,data/data_sensors/T01/T01-1-2024_03_13.txt
TER-NFBF-T-01,2,09/12/2023 10:17,12/03/2024 11:17,13/03/2024,2258,NA,10220393,data/data_sensors/T01/T01-2-2024_03_13.txt
TER-NFBF-T-01,0,18/09/2023 11:30,23/09/2023 04:30,09/12/2023,114,Data logger replacement,65006686,data/data_sensors/T01/T01-0-2023_12_09.txt
TER-NFBF-T-01,1,18/09/2023 11:30,09/12/2023 11:30,09/12/2023,1969,NA,10222279,data/data_sensors/T01/T01-1-2023_12_09.txt
TER-NFBF-T-01,2,18/09/2023 11:05,09/12/2023 11:05,09/12/2023,1969,NA,10220393,data/data_sensors/T01/T01-2-2023_12_09.txt
TER-NFBF-T-01,0,19/08/2024 10:30,12/09/2024 09:30,12/09/2024,576,NA,65068594,data/data_sensors/T01/T01-0-2024_09_12.txt
TER-NFBF-T-02,0,17/06/2024 12:30,18/08/2024 18:30,18/08/2024,1495,NA,65069009,data/data_sensors/T02/T02-0-2024_08_18.txt
TER-NFBF-T-02,1,17/06/2024 12:30,18/08/2024 18:30,18/08/2024,1495,NA,65067142,data/data_sensors/T02/T02-1-2024_08_18.txt
TER-NFBF-T-02,2,17/06/2024 12:30,18/08/2024 18:30,18/08/2024,1495,NA,65068503,data/data_sensors/T02/T02-2-2024_08_18.txt
TER-NFBF-T-02,0,12/03/2024 14:30,17/06/2024 11:30,17/06/2024,2326,NA,65069009,data/data_sensors/T02/T02-0-2024_06_17.txt
TER-NFBF-T-02,1,12/03/2024 14:30,17/06/2024 10:30,17/06/2024,2325,Data logger on the ground,65067142,data/data_sensors/T02/T02-1-2024_06_17.txt
TER-NFBF-T-02,2,12/03/2024 14:30,17/06/2024 10:30,17/06/2024,2325,Data logger on the ground,65068503,data/data_sensors/T02/T02-2-2024_06_17.txt
TER-NFBF-T-02,0,11/12/2023 12:22,16/12/2023 03:22,12/03/2024,112,Data logger replacement,10220096,data/data_sensors/T02/T02-0-2024_03_12.txt
TER-NFBF-T-02,1,11/12/2023 12:25,11/02/2024 22:25,12/03/2024,1499,Data logger replacement,65006670,data/data_sensors/T02/T02-1-2024_03_12.txt
TER-NFBF-T-02,2,11/12/2023 12:28,09/01/2024 13:28,12/03/2024,698,Data logger replacement,10222089,data/data_sensors/T02/T02-2-2024_03_12.txt
TER-NFBF-T-02,0,10/08/2023 13:00,03/11/2023 09:00,11/12/2023,2037,NA,10220096,data/data_sensors/T02/T02-0-2023_12_11.txt
TER-NFBF-T-02,1,10/08/2023 13:00,21/10/2023 18:00,11/12/2023,1734,NA,65006670,data/data_sensors/T02/T02-1-2023_12_11.txt
TER-NFBF-T-02,2,10/08/2023 13:00,11/12/2023 14:00,11/12/2023,2954,NA,10222089,data/data_sensors/T02/T02-2-2023_12_11.txt
TER-NFBF-T-02,0,18/08/2024 18:45,17/09/2024 09:45,17/09/2024,712,NA,65069009,data/data_sensors/T02/T02-0-2024_09_17.txt
TER-NFBF-T-02,1,18/08/2024 18:45,17/09/2024 09:45,17/09/2024,712,NA,65067142,data/data_sensors/T02/T02-1-2024_09_17.txt
TER-NFBF-T-02,2,18/08/2024 18:45,17/09/2024 09:45,17/09/2024,712,NA,65068503,data/data_sensors/T02/T02-2-2024_09_17.txt
TER-NFBF-T01,0,2024-09-12 09:45:46,2024-12-18 03:45:46,2024-12-18,2323,NA,65068594,data/data_sensors/T01/T01-0-2024_12_18.txt
TER-NFBF-T02,0,2024-09-17 10:00:07,2024-10-27 16:00:07,2024-12-18,967,NA,65069009,data/data_sensors/T02/T02-0-2024_12_18.txt
TER-NFBF-T02,1,2024-09-17 10:00:10,2024-12-18 15:00:10,2024-12-18,2214,NA,65067142,data/data_sensors/T02/T02-1-2024_12_18.txt
TER-NFBF-T02,2,2024-09-17 10:00:22,2024-12-18 16:00:22,2024-12-18,2215,NA,65068503,data/data_sensors/T02/T02-2-2024_12_18.txt
TER-NFBF-TP41,1,24/06/2024 09:00,16/08/2024 10:00,16/08/2024,1274,NA,65069025,data/data_sensors/TP41/TP41-1-2024_08_16.txt
TER-NFBF-TP41,2,24/06/2024 09:00,16/08/2024 10:00,16/08/2024,1274,NA,65069112,data/data_sensors/TP41/TP41-2-2024_08_16.txt
TER-NFBF-TP41,0,12/03/2024 10:00,21/03/2024 15:00,24/06/2024,222,Data logger replacement,10220275,data/data_sensors/TP41/TP41-0-2024_06_24.txt
TER-NFBF-TP41,1,12/03/2024 10:00,24/06/2024 08:00,24/06/2024,2495,Data logger on the ground,65069025,data/data_sensors/TP41/TP41-1-2024_06_24.txt
TER-NFBF-TP41,2,12/03/2024 10:00,24/06/2024 08:00,24/06/2024,2495,NA,65069112,data/data_sensors/TP41/TP41-2-2024_06_24.txt
TER-NFBF-TP41,0,08/12/2023 14:50,12/03/2024 08:50,12/03/2024,2275,NA,10220275,data/data_sensors/TP41/TP41-0-2024_03_12.txt
TER-NFBF-TP41,1,08/12/2023 14:49,12/03/2024 09:49,12/03/2024,2276,NA,65069025,data/data_sensors/TP41/TP41-1-2024_03_12.txt
TER-NFBF-TP41,2,08/12/2023 14:48,12/03/2024 09:48,12/03/2024,2276,NA,65069112,data/data_sensors/TP41/TP41-2-2024_03_12.txt
TER-NFBF-TP41,0,08/08/2023 10:30,08/12/2023 15:30,08/12/2023,2934,NA,10220275,data/data_sensors/TP41/TP41-0-2023_12_08.txt
TER-NFBF-TP41,1,08/08/2023 10:30,21/08/2023 10:30,08/12/2023,313,Data logger replacement,65006786,data/data_sensors/TP41/TP41-1-2023_12_08.txt
