"effect" "component" "term" "estimate" "std.error" "statistic" "p.value" "conf.low" "conf.high" "response" "df" "p_adjusted_BH" "significant_BH"
"61" "fixed" "cond" "SSCI" 0.1475857092213 0.173774489328277 0.849294449327927 0.395717468706973 -0.193006031293962 0.488177449736563 "UND_DVPDR" NA 0.597727085599343 FALSE
"62" "fixed" "cond" "Elevation" -0.682087547295574 0.201283267949355 -3.38869471985717 0.000702261476520864 -1.07659550316683 -0.287579591424314 "UND_DVPDR" NA 0.00369971899825626 TRUE
"63" "fixed" "cond" "Slope_30" 0.4242324443609 0.196190431800849 2.16235032701052 0.0305911832622867 0.0397062639198748 0.808758624801925 "UND_DVPDR" NA 0.0913256448313855 FALSE
"64" "fixed" "cond" "foliage_height_diversity" 0.210914185853133 0.265801953555608 0.793501262995828 0.427485833741415 -0.310048070136246 0.731876441842513 "UND_DVPDR" NA 0.617082563118535 FALSE
"65" "fixed" "cond" "energy_tot:canopy_openess" 0.143986742276566 0.0299632710131699 4.80544137565217 1.54410479440454e-06 0.0852598102317398 0.202713674321392 "UND_DVPDR" NA 1.1911665556835e-05 TRUE
"66" "fixed" "cond" "energy_tot:northness" -0.11383719580161 0.0311127269679226 -3.6588626872526 0.000253337025187593 -0.174817020119566 -0.0528573714836533 "UND_DVPDR" NA 0.00156345135544343 TRUE
"67" "fixed" "cond" "energy_tot:eastness" -0.00453863804849529 0.0317400137073866 -0.14299420568426 0.886294757360975 -0.0667479217837807 0.0576706456867901 "UND_DVPDR" NA 0.952436157164033 FALSE
"68" "fixed" "cond" "energy_tot:ENL0D" -0.058739232382668 0.0450080152688016 -1.30508381744583 0.191864308472535 -0.146953321325148 0.029474856559812 "UND_DVPDR" NA 0.376751733000614 FALSE
"69" "fixed" "cond" "energy_tot:SSCI" 0.0185873019508792 0.0360201863624117 0.516024591429535 0.605837233919177 -0.0520109660358685 0.0891855699376269 "UND_DVPDR" NA 0.788318328473146 FALSE
"70" "fixed" "cond" "energy_tot:Elevation" 0.0568569794929036 0.0372740006784019 1.52537904324955 0.127164582764086 -0.0161987193964855 0.129912678382293 "UND_DVPDR" NA 0.271955939376658 FALSE
"71" "fixed" "cond" "energy_tot:Slope_30" 0.0457247615267648 0.0381658902043188 1.19805305947221 0.230896361346654 -0.0290790087116101 0.12052853176514 "UND_DVPDR" NA 0.412178628519647 FALSE
"72" "fixed" "cond" "energy_tot:foliage_height_diversity" -0.117833270840795 0.0546859240676832 -2.1547276168353 0.0311831553659267 -0.225015712474746 -0.010650829206844 "UND_DVPDR" NA 0.0913256448313855 FALSE
"73" "fixed" "cond" "(Intercept)" 1.45271909007224 0.0330949312037762 43.8955162386462 0 1.387854216842 1.51758396330247 "CAN_DTR" NA 0 TRUE
"74" "fixed" "cond" "energy_tot" 0.333628162713962 0.00778806617064878 42.8383831626035 0 0.318363833510276 0.348892491917649 "CAN_DTR" NA 0 TRUE
"75" "fixed" "cond" "canopy_openess" 0.0913834530830673 0.0358672972619623 2.54782099737358 0.0108398075910209 0.0210848422268291 0.161682063939305 "CAN_DTR" NA 0.0433592303640837 TRUE
"76" "fixed" "cond" "northness" -0.0679684561137617 0.0408311857160577 -1.66462116937818 0.0959883591824826 -0.147996109563301 0.0120591973357778 "CAN_DTR" NA 0.220568995568258 FALSE
"77" "fixed" "cond" "eastness" -0.00113403304070984 0.0391566372988785 -0.0289614512107841 0.976895335165506 -0.0778796319022095 0.0756115658207898 "CAN_DTR" NA 0.995327322621459 FALSE
"78" "fixed" "cond" "ENL0D" 0.00417166821378216 0.0546901572128167 0.0762782267666351 0.939197747891549 -0.103019070232172 0.111362406659736 "CAN_DTR" NA 0.980032432582486 FALSE
"79" "fixed" "cond" "SSCI" 0.013420891342114 0.0410253709861522 0.32713637974521 0.743564737189293 -0.0669873582431387 0.0938291409273668 "CAN_DTR" NA 0.854308421451528 FALSE
"80" "fixed" "cond" "Elevation" 0.000513493630129417 0.0486317057229096 0.0105588241764573 0.991575433750416 -0.0948028980935238 0.0958298853537826 "CAN_DTR" NA 0.997368087117266 FALSE
"81" "fixed" "cond" "Slope_30" 0.011296819704354 0.0474944814106233 0.237855417489141 0.81199323488785 -0.0817906533248746 0.104384292733583 "CAN_DTR" NA 0.899438660183465 FALSE
"82" "fixed" "cond" "foliage_height_diversity" -0.0998645773015806 0.0636343675721409 -1.56934972581233 0.116566471592139 -0.22458564592196 0.0248564913187991 "CAN_DTR" NA 0.254365981133218 FALSE
"83" "fixed" "cond" "energy_tot:canopy_openess" 0.0194159319275897 0.00964205625840264 2.0136712965836 0.0440440555147386 0.000517848924211507 0.0383140149309679 "CAN_DTR" NA 0.121968153733122 FALSE
"84" "fixed" "cond" "energy_tot:northness" -0.0286463792225317 0.00940429763433731 -3.04609449172865 0.00231834964268392 -0.047078463885728 -0.0102142945593353 "CAN_DTR" NA 0.0111280782848828 TRUE
"85" "fixed" "cond" "energy_tot:eastness" 0.00800514611045451 0.00975253499066968 0.820827212423549 0.411744695892142 -0.0111094712292247 0.0271197634501338 "CAN_DTR" NA 0.609156536388375 FALSE
"86" "fixed" "cond" "energy_tot:ENL0D" -0.00544398646180138 0.0130608316754002 -0.416817749213858 0.676811718858897 -0.0310427461537257 0.020154773230123 "CAN_DTR" NA 0.822296766050617 FALSE
"87" "fixed" "cond" "energy_tot:SSCI" -0.0137348195192194 0.0108292744730266 -1.26830468222317 0.204689165634325 -0.0349598074650505 0.00749016842661162 "CAN_DTR" NA 0.387832103307142 FALSE
"88" "fixed" "cond" "energy_tot:Elevation" -0.00873103741965844 0.0110280696532267 -0.791710398483366 0.428529557721205 -0.0303456567589819 0.012883581919665 "CAN_DTR" NA 0.617082563118535 FALSE
"89" "fixed" "cond" "energy_tot:Slope_30" 0.00588813476045308 0.0110237335687953 0.534132535379895 0.593249841174736 -0.0157179860095508 0.027494255530457 "CAN_DTR" NA 0.776617973901472 FALSE
"90" "fixed" "cond" "energy_tot:foliage_height_diversity" -0.0167294571869144 0.0153858149383296 -1.08732993695625 0.276891022729683 -0.0468851003388388 0.0134261859650099 "CAN_DTR" NA 0.463037456908909 FALSE
"91" "fixed" "cond" "(Intercept)" -2.18938560797211 0.134331170402897 -16.298418315016 1.01279268907114e-59 -2.4526698639629 -1.92610135198132 "CAN_DVPDR" NA 9.94378276542574e-59 TRUE
"92" "fixed" "cond" "energy_tot" 0.94283174977871 0.0268043077992276 35.1746352429918 4.88492905630441e-271 0.890296271861698 0.995367227695722 "CAN_DVPDR" NA 1.17238297351306e-269 TRUE
"93" "fixed" "cond" "canopy_openess" 0.258036211774884 0.154700338269912 1.66797445086822 0.0953207987122149 -0.0451708796303067 0.561243303180075 "CAN_DVPDR" NA 0.220568995568258 FALSE
"94" "fixed" "cond" "northness" -0.449191316503838 0.166727394761002 -2.69416622953737 0.00705649620600179 -0.775971005471594 -0.122411627536082 "CAN_DVPDR" NA 0.0317542329270081 TRUE
"95" "fixed" "cond" "eastness" 0.058977508143916 0.164219682061435 0.359137878015452 0.719491946648623 -0.262887154249115 0.380842170536947 "CAN_DVPDR" NA 0.837082662133826 FALSE
"96" "fixed" "cond" "ENL0D" 0.25208793580584 0.226347812902741 1.11371933562335 0.265399611578041 -0.191545625462944 0.695721497074623 "CAN_DVPDR" NA 0.453451046216299 FALSE
"97" "fixed" "cond" "SSCI" 0.10494679282318 0.176414592186468 0.594887256901357 0.551918835869892 -0.240819454209619 0.450713039855978 "CAN_DVPDR" NA 0.740462537564575 FALSE
"98" "fixed" "cond" "Elevation" -0.706007188984117 0.19639110271425 -3.59490414395891 0.000324511035628876 -1.09092667718815 -0.321087700780081 "CAN_DVPDR" NA 0.00179729188963685 TRUE
"99" "fixed" "cond" "Slope_30" 0.292105848830261 0.193468092828672 1.5098399149928 0.131084277350267 -0.0870846452715881 0.67129634293211 "CAN_DVPDR" NA 0.277590234388801 FALSE
"100" "fixed" "cond" "foliage_height_diversity" -0.356867806676792 0.263145479607048 -1.35616164567865 0.175047742362755 -0.872623469401126 0.158887856047541 "CAN_DVPDR" NA 0.353367405143505 FALSE
"101" "fixed" "cond" "energy_tot:canopy_openess" 0.0485170225790648 0.0328783872794053 1.47565092432181 0.14003762679518 -0.0159234323583295 0.112957477516459 "CAN_DVPDR" NA 0.293671139686978 FALSE
"102" "fixed" "cond" "energy_tot:northness" -0.0129659280439391 0.0327581233944015 -0.395808022572959 0.692246657999633 -0.077170670098085 0.0512388140102069 "CAN_DVPDR" NA 0.826106508994037 FALSE
"103" "fixed" "cond" "energy_tot:eastness" 0.0365650549035474 0.0337537245577707 1.08328948531191 0.278679950917399 -0.0295910295737683 0.102721139380863 "CAN_DVPDR" NA 0.463037456908909 FALSE
